"rio de janeiro","M-0821"
"Partida para a caça","M-0822"
"Paisagem pastoral","M-0823"
"paisagem Marinha","M-0824"
"lutadores","M-0825"
"Apresentação de Embaixador e comitiva","M-0826"
"oferendas à divindade","M-0827"
"Nobres","M-0828"
"retrato de ema gordon klabin","M-0829"
"virgem com menino e são joão","M-0830"
"figuras femininas com instrumentos musicais","M-0831"
"retrato de mulata","M-0832"
"rebanho em repouso","M-0833"
"no mercado em campos do jordão","M-0834"
" retrato de dama","M-0835"
"retrato de dama","M-0836"
"retrato de dama","M-0837"
" retrato de dama","M-0838"
" retrato da condessa elisabeth Gräfin Grosvenor","M-0839"
"retrato de senhora","M-0840"
" retrato de cavalheiro","M-0841"
"retrato de cavalheiro","M-0842"
" retrato de jovem dama","M-0843"
"retrato de dama","M-0844"
"retrato feminino","M-0845"
" retrato de dama ","M-0846"
" retrato de dama","M-0847"
"retrato da czarina Marie Feodorowska","M-0848"
" retrato de jovem","M-0849"
"paramento litúrgico","M-0850"
"paramento litúrgico","M-0851"
"floresta com pássaros (tapeçaria)","M-0852"
"Lenda de aquiles (tapeçaria)","M-0853"
"CENA CAMPESTRE (TAPEÇARIA)","M-0854"
"lambri","M-0855"
"lambri","M-0856"
"lambri","M-0857"
"lambri","M-0858"
"lambri","M-0859"
"lambri","M-0860"
"Nossa senhora da conceição","M-0861"
"marcador de lugar","M-0862"
"marcador de lugar","M-0863"
"banco","M-0864"
"copo para saquê","M-0865"
"pires para copo de saquê","M-0866"
"sofá ""ema klabin""","M-0867"
"sofá ""ema klabin""","M-0868"
"sofá ""shalom""","M-0869"
"apoio para pincéis","M-0870"
"prato","M-0871"
"prato","M-0872"
"prato","M-0873"
"prato","M-0874"
"prato","M-0875"
"prato","M-0876"
"prato","M-0877"
"prato","M-0878"
"bule de café","M-0879"
"açucareiro","M-0880"
"cremeira","M-0881"
"xícara de café","M-0882"
"pires","M-0883"
"porta - cigarros","M-0884"
"pires para porta - cigarros","M-0885"
"cinzeiro","M-0886"
"centro de mesa","M-0887"
"centro de mesa","M-0888"
"Terrina","M-0889"
"travessa","M-0890"
"sopeira","M-0891"
"Lustre","M-0892"
"sanefa","M-0893"
"Santa (?)","M-0894"
"São Roque","M-0895"
"talha","M-0896"
